TRUE,中下,惣や　352-0129,15：00～23：00,15:00～20：00,休,休,休,休,５日より営業,
TRUE,中下,悟とう（本店）　,18：00～23：00,休,休,休,休,休,５日より営業,
TRUE,中下,悟とう別庭,通常時間で営業は行うが既に満席,休,休,休,休,休,５日より営業,
FALSE,,赤のれん,,,,,,,,
FALSE,,八伍邸,通常,休み,休み,11:30-14:30 17:00-24:00⁡,通常,通常,,
TRUE,中下,瑠璃庵,休,休,休,休,休,休,,
TRUE,八尾,夜香木,休み,休み,休み,休み,"通常
18:00-24:30  LO24:00","通常
18:00-24:30  LO24:00","12/29 年内最終営業
18:00-24:30  LO24:00",
TRUE,大庭,紅蘭亭（下通）,通常,休み,休み,通常,通常,,,
TRUE,大庭,紅蘭亭（上通）,通常,休み,休み,通常,通常,,,
TRUE,中下,城屋　080-5802-1222,18：00-24：00,休,休,休,休,18：00-24：00,,
FALSE,,ラフカディオ,,,,,,,,
FALSE,,味処お川,,,,,,,日曜定休,
TRUE,木原,くさは餅本舗,"店内お休み　テイクアウトOK
","午前中のみ営業～12:00
予約済みの方の受け渡しのみ","店内お休み　テイクアウトOK
9:00-16:00","店内お休み　テイクアウトOK
9:00-16:00","店内お休み　テイクアウトOK
9:00-16:00","店内お休み　テイクアウトOK
9:00-16:00",※5～7までお休み,
FALSE,鴻上,長崎書店,通常営業,"有人:11:00-18:00
無人:9:30-11:00・18:00-22:00",休み,通常営業,通常営業,,,
FALSE,,うな雅,,11:00-15:00（LO）,11:00-15:00（LO）,11:00-20:00（LO）,11:00-20:00（LO）,,,
TRUE,八尾,上乃裏•焼鳥おだちゃん,通常18:00-3:00,18:00-23:00早仕舞い,休み,休み,通常18:00-3:00,通常18:00-3:00,日曜定休,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
FALSE,,,,,,,,,,
